Longitude,Latitude,Depth,Magnitude,Mag. Type,Year,Month,Day,Time
117.235,-9.166,66.6,5.8,mw,1970,1,9,23:16:22
116.412,-9.073,70.2,5.98,mw,1970,12,21,14:40:43
116.46,-9.203,70.5,5.62,mw,1970,12,24,1:49:56
114.594,-7.564,20,5.49,mw,1971,3,20,9:44:54
116.95,-10.988,26.9,6.38,mw,1972,5,28,1:55:22
117.265,-11.039,15,5.41,mw,1972,8,17,17:29:51
117.427,-9.854,66,5.5,mb,1973,1,2,0:53:20
117.381,-8.267,162,5.7,mb,1973,3,20,19:09:06
117.107,-10.246,33,5.5,mb,1973,7,16,5:42:47
117.22,-10.149,33,5.1,mb,1973,7,16,8:41:24
115.36,-8.745,92,5.6,mb,1973,10,2,12:23:23
114.717,-11.665,28,4.9,mb,1973,12,28,3:13:38
117.284,-8.937,33,4.8,mb,1973,12,29,15:41:15
117.496,-7.754,257,5.6,mb,1974,1,17,12:52:25
117.849,-8.17,33,5.6,mb,1974,4,26,12:20:00
116.365,-9.796,33,4.9,mb,1975,2,7,16:50:19
114.577,-9.331,89,5.3,mb,1975,2,20,22:32:50
117.63,-9.193,67,4.9,mb,1975,6,28,11:20:30
117.869,-8.735,6,4.9,mb,1975,7,4,6:07:37
117.185,-9.676,52,5.5,mb,1975,7,31,15:17:38
115.07,-7.978,196,5.9,mb,1975,12,28,15:24:50
117.34,-8.545,153,4.2,mb,1976,1,30,16:01:32
117.073,-9.988,52,4.8,mb,1976,2,11,7:09:31
117.408,-10.045,32,5.3,mb,1976,3,6,17:24:57
114.888,-8.17,40,6.5,ms,1976,7,14,7:13:24
114.862,-8.127,33,5.9,mb,1976,7,14,10:23:45
117.355,-7.689,335,5.2,mb,1976,9,5,4:39:20
115.193,-8.219,33,5.2,mb,1977,1,26,13:11:29
117.176,-8.303,161,5.3,mb,1977,3,13,5:24:07
116.799,-11.041,33,4.6,mb,1977,3,20,19:08:27
114.82,-11.251,51,5.2,mb,1977,6,27,3:04:39
117.412,-10.192,33,5.5,mb,1977,8,19,7:38:05
117.721,-11.458,33,5,mb,1977,8,19,12:21:11
117.858,-11.585,33,5.1,mb,1977,8,21,12:28:44
116.32,-11.324,33,5.2,mb,1977,8,22,17:44:19
116.457,-11.259,33,4.9,mb,1977,8,22,20:55:15
117.799,-10.12,33,4.6,mb,1977,8,23,1:14:04
117.664,-11.394,33,5.7,mb,1977,8,23,10:24:12
117.599,-11.495,33,4.6,mb,1977,8,25,22:20:36
117.869,-11.433,33,5.3,mb,1977,8,26,1:41:40
117.717,-9.913,33,5,mb,1977,8,30,12:58:56
115.516,-10.07,33,5.1,mb,1977,9,7,2:44:26
116.863,-11.298,33,5.1,mb,1977,9,7,11:39:11
117.448,-10.402,33,5.1,ms,1977,9,15,11:13:24
117.643,-10.468,33,5.2,mb,1977,9,16,12:22:50
117.865,-11.482,33,4.6,mb,1977,9,16,18:11:34
117.823,-10.035,33,4.7,mb,1977,9,20,21:55:42
117.231,-10.352,33,4.9,mb,1977,9,24,3:49:33
117.245,-11.298,33,5.6,mb,1977,9,25,18:31:39
117.744,-11.234,33,4.7,mb,1977,9,27,21:39:15
117.497,-10.078,33,5.6,mb,1977,10,1,12:52:31
117.605,-10.113,24,5.2,mb,1977,10,1,13:37:25
117.497,-10.186,19,5.4,mb,1977,10,1,20:02:40
117.383,-11.483,33,5.5,mb,1977,10,5,18:04:11
117.167,-11.191,33,5.6,mb,1977,10,5,18:51:10
117.327,-9.965,33,5.7,mb,1977,10,7,4:45:43
117.656,-10.081,33,5.6,mb,1977,10,7,5:39:36
117.417,-9.828,33,5,mb,1977,10,7,6:24:02
117.299,-9.91,33,5.4,mb,1977,10,7,8:30:56
117.379,-10.09,33,5.1,mb,1977,10,7,10:50:38
117.319,-9.952,33,6.3,ms,1977,10,7,12:10:43
117.292,-9.875,33,5.2,mb,1977,10,7,12:23:05
117.566,-9.972,33,5,mb,1977,10,7,16:05:13
117.311,-9.844,33,5.2,mb,1977,10,7,16:50:49
117.318,-9.932,33,5.6,ms,1977,10,7,17:01:13
117.262,-9.845,33,5.8,ms,1977,10,7,17:36:46
117.128,-9.858,33,5.3,mb,1977,10,7,17:58:21
117.158,-10.008,33,5.7,mb,1977,10,7,19:04:16
117.254,-9.828,33,5.4,mb,1977,10,7,19:10:04
117.514,-10.014,33,5.1,mb,1977,10,7,21:26:14
117.29,-9.916,33,5.8,mb,1977,10,7,21:36:11
117.38,-9.893,33,5.7,ms,1977,10,7,22:47:03
117.146,-9.998,33,5.5,mb,1977,10,7,23:23:46
117.195,-10.079,33,5.4,mb,1977,10,8,1:58:54
117.5,-9.995,33,5,mb,1977,10,8,4:34:05
117.599,-10.321,33,5,mb,1977,10,8,6:55:59
117.36,-9.815,33,5.4,mb,1977,10,8,10:52:32
117.344,-9.945,33,5.4,mb,1977,10,8,18:08:23
117.428,-9.963,33,5.2,mb,1977,10,8,18:59:47
117.303,-10.019,33,5.2,mb,1977,10,8,19:30:01
117.493,-9.945,33,4.9,mb,1977,10,9,0:54:17
117.29,-9.925,33,5.6,mb,1977,10,9,10:03:21
117.376,-10.162,33,5.3,mb,1977,10,9,12:16:56
117.51,-9.995,33,5.6,mb,1977,10,9,16:57:04
117.465,-9.992,33,5.1,mb,1977,10,11,2:04:35
117.541,-9.263,33,4.6,mb,1977,10,14,4:24:50
117.118,-9.733,33,5.8,ms,1977,10,16,21:09:17
117.155,-9.752,33,5.5,mb,1977,10,16,21:22:08
117.596,-9.987,33,5,mb,1977,10,16,23:13:01
117.107,-9.729,33,5,mb,1977,10,17,9:53:35
117.098,-9.776,33,5.3,ms,1977,10,20,11:35:23
117.667,-10.402,33,5.7,mb,1977,10,21,11:48:34
117.221,-9.693,33,5.6,mb,1977,10,25,6:50:44
117.526,-10.447,39,5,mb,1977,10,31,18:56:34
117.369,-10.015,33,4.9,mb,1977,11,4,16:02:34
117.369,-10.229,33,4.9,mb,1977,11,4,16:55:12
116.965,-11.451,33,5.3,mb,1977,11,14,17:58:34
117.436,-10.125,33,4.9,mb,1977,11,19,17:33:28
116.205,-11.671,33,5.1,mb,1977,11,30,13:57:06
117.685,-7.838,33,5.6,mb,1977,12,20,11:31:34
117.622,-8.343,33,5.1,mb,1977,12,22,18:13:06
117.608,-10.726,33,4.9,mb,1977,12,23,10:25:17
114.53,-8.684,123,5.1,mb,1978,2,3,11:03:52
117.114,-9.662,33,5.6,mb,1978,2,25,6:10:35
117.578,-9.524,33,4.7,mb,1978,2,25,7:48:11
117.096,-10.131,39,5,mb,1978,2,25,7:54:53
117.188,-9.999,33,4.7,mb,1978,2,25,8:42:46
117.229,-9.767,33,5.1,mb,1978,2,25,14:12:04
116.411,-9.622,94,5.4,mb,1978,3,15,14:46:23
117.54,-10.248,33,4.8,mb,1978,4,3,15:12:39
116.685,-11.36,33,6.7,mb,1978,4,10,20:52:18
117.023,-10.242,35,5.5,mb,1978,5,4,18:11:43
117.518,-9.5,33,4.8,mb,1978,6,4,18:24:49
117.5,-10.667,33,4.7,mb,1978,6,7,8:15:58
117.721,-11.647,33,5.3,mb,1978,7,18,21:48:20
117.727,-8.137,33,5.4,mb,1978,7,26,20:58:23
116.77,-11.522,33,4.1,mb,1978,12,8,22:01:08
117.661,-10.813,33,4.1,mb,1978,12,19,1:40:18
117.369,-7.701,291,4.6,mb,1978,12,26,5:14:49
116.865,-11.605,27,3.8,mb,1979,3,7,4:36:22
116.902,-11.334,25,5.3,mb,1979,3,28,16:16:47
117.017,-11.669,33,4.8,mb,1979,3,29,3:02:35
115.934,-8.299,76,5.7,mb,1979,5,21,16:31:05
115.949,-8.207,25,6.1,mb,1979,5,30,9:38:52
116.103,-8.345,33,4.9,mb,1979,6,16,0:56:14
116.183,-8.257,33,4.7,mb,1979,6,20,22:40:08
115.901,-8.449,33,5.1,mb,1979,6,21,9:45:15
116.776,-10.538,38,5,mb,1979,6,26,21:35:01
117.795,-11.362,33,4.2,mb,1979,6,27,17:46:06
117.784,-10.219,33,5,mb,1979,8,2,22:11:02
117.519,-10.252,33,4.3,mb,1979,8,19,10:15:52
117.836,-11.598,33,4.7,mb,1979,8,25,12:34:17
117.261,-10.782,33,4,mb,1979,10,10,9:40:06
117.575,-11.404,33,3.7,mb,1979,10,15,20:43:08
115.847,-8.254,38,6.2,ms,1979,10,20,1:41:10
115.94,-8.253,33,3.2,mb,1979,11,3,11:36:56
116.099,-11.492,33,3.4,mb,1979,11,9,20:57:29
115.889,-8.39,33,6.3,ms,1979,12,17,19:58:23
116.135,-8.208,33,4.8,mb,1980,1,18,8:40:57
116.096,-8.442,33,5.2,mb,1980,1,21,16:29:20
116.181,-8.133,33,4.9,mb,1980,1,21,17:18:22
116.155,-8.27,33,4.7,mb,1980,1,21,22:26:07
